Fold,Total_Epochs,Best_Epoch,Train_Loss,Val_Loss,Val_Pseudo_Dice,Test_Dice_mean,Test_Dice_std
0,100,92,-0.480,-0.317,0.536,0.149,0.259
0,190,188,-0.595,-0.355,0.493,0.256,0.315
0,290,267,-0.592,-0.361,0.506,0.243,0.299
1,100,78,-0.463,-0.231,0.378,0.145,0.217
1,190,114,-0.502,-0.240,0.402,0.193,0.261
2,100,81,-0.489,-0.416,0.550,0.214,0.255
2,190,183,-0.596,-0.382,0.570,0.237,0.285
2,290,224,-0.648,-0.406,0.611,0.199,0.279
3,100,88,-0.502,-0.391,0.570,0.216,0.283
3,190,124,-0.568,-0.434,0.595,0.235,0.292
4,100,98,-0.466,-0.508,0.650,0.205,0.248
4,190,193,-0.603,-0.471,0.667,0.201,0.281
4,290,277,-0.595,-0.526,0.693,0.219,0.279
4,400,318,-0.632,-0.546,0.702,0.208,0.273
4,600,559,-0.724,-0.527,0.703,0.262,0.292
